feature,importance
rolling_min_5,0.19293511
High,0.16028497
Close,0.14000869
rolling_max_20,0.11116102
rolling_max_10,0.08304409
Low,0.05733742
Close_lag_2,0.03864319
rolling_max_5,0.03308685
Close_lag_1,0.03053063
SMA_20,0.02568748
BB_upper,0.024623627
SMA_50,0.0197109
SMA_5,0.018049074
rolling_max_50,0.017536841
rolling_min_20,0.0167833
BB_middle,0.010796476
rolling_min_50,0.0069766706
Open,0.0033034696
rolling_min_10,0.0020990886
SMA_10,0.0017660052
Close_lag_5,0.0012630608
Close_lag_3,0.0012406474
Close_lag_10,0.0010301354
BB_lower,0.0009412835
EMA_5,0.00024596936
EMA_50,0.00020820583
MACD,6.5417415e-05
RSI_14,6.4583546e-05
BB_width,6.0140497e-05
rolling_std_50,5.5408058e-05
rolling_std_5,5.5029588e-05
EMA_10,5.097914e-05
volume_avg_10,4.747688e-05
EMA_20,4.710976e-05
MACD_signal,4.6180612e-05
rolling_std_10,4.585559e-05
volume_change_pct,4.5520963e-05
MACD_hist,4.5148194e-05
Volume,3.8800856e-05
rolling_std_20,3.8163445e-05
